bins	BGR_130305_mapped_sorted	BGR_130527_mapped_sorted	BGR_130708_mapped_sorted
METABAT__1	0.9924695832982101	0.10708254753754602	0.4578408508026549
METABAT__10	0.922051647127717	0.5247859518587837	0.7498111171073935
METABAT__11	0.9971065986269184	0.9987793935035938	0.9929170581772075
METABAT__12	0.9843702688775531	0.9584663873099063	0.996596987261172
METABAT__13	0.90798734085254	0.023567899889209758	0.7974718029749904
METABAT__14	0.31669053984696566	0.2332244224311731	0.9957565002700409
METABAT__15	0.9843768817898606	0.9956749969649525	0.9583219065611679
METABAT__16	0.9648195719076786	0.5556551092328267	0.9780049673256774
METABAT__17	0.5697980547728687	0.9943178133129634	0.45754454108925996
METABAT__18	0.842109103072221	0.9640663180378912	0.9748349737742713
METABAT__19	0.8626651451506596	0.8840368705301368	0.9027918507078001
METABAT__2	0.8423572946379199	0.9909681535078148	0.9918289107605339
METABAT__20	0.7909779062759635	0.9118855316241129	0.6802557723354263
METABAT__21	0.9853623501944329	0.9223212903183297	0.8305452357080025
METABAT__22	0.9659466255788312	0.30611657944950726	0.8941901619516643
METABAT__23	0.5496351281207487	0.7055450574080923	0.9735735053144751
METABAT__24	0.6885324798767942	0.24354450309475395	0.9268190810789442
METABAT__25	0.7892115965870886	0.9024278150969756	0.965770353107068
METABAT__26	0.9778612711313087	0.7914484787343371	0.9365037760576261
METABAT__27	0.37370987223698715	0.8537263662903726	0.8743062753659618
METABAT__28	0.8378080441696101	0.2550177827669019	0.9868393826463554
METABAT__29	0.88868919789735	0.6693602525332858	0.9072635035293247
METABAT__3	0.8977844432689169	0.6830071244470957	0.904695044401175
METABAT__30	0.9414337457701758	0.861551143912151	0.8253596904108156
METABAT__31	0.5099159027288707	0.9709259774359703	0.7196086902486225
METABAT__32	0.8685793530558776	0.06522932154435167	0.9815137008043074
METABAT__33	0.9981576098807473	0.9899993863052048	0.9987299564450793
METABAT__34	0.7639380457873429	0.5311957613958163	0.9059511106705617
METABAT__35	0.8548730760058331	0.9108775798235222	0.8983826133871289
METABAT__36	0.8334081908091245	0.5934486802221386	0.9229097063964422
METABAT__37	0.93856212060942	0.4238823718444423	0.7788622690708553
METABAT__38	0.1184357242094844	0.8217009427155694	0.8551610845104856
METABAT__39	0.9491384877889315	0.9155125353149576	0.8718734800947225
METABAT__4	0.8510194283819132	0.9887438951980015	0.9481894213744296
METABAT__40	0.84797266947142	0.9199595103280296	0.8025040331509189
METABAT__41	0.8882053816752294	0.03773300802872674	0.9854903565412421
METABAT__42	0.9744996931389571	0.004949098075256514	0.8950280800984423
METABAT__43	0.703736914146663	0.8128031186366209	0.8885299696670131
METABAT__44	0.9784057959177006	0.7661556305184144	0.7555210690102997
METABAT__45	0.826452816077855	0.017391635723591602	0.9039744484431604
METABAT__46	0.5455553916094579	0.9831774863555974	0.8096914612077274
METABAT__5	0.9981647770117998	0.9972634233555316	0.9956845003990343
METABAT__6	0.8916842531602396	0.7974334377864467	0.9204024642407964
METABAT__7	0.9187680386932214	0.9876610977785667	0.883922900842464
METABAT__8	0.9990162300723832	0.9729328279809366	0.99973049345748
METABAT__9	0.955140611807495	0.545723192829772	0.6836439999134031
