bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
METABAT__1	1815039	269	7972	47.66051959150312	84.50704225352112	4.225352112676056	Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	UBA4923	UBA4923 sp012841015
METABAT__10	1306365	350	3685	59.94452681453638	48.68421052631579	7.894736842105263	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus thermohydrogenotrophicum
METABAT__11	1985898	31	111331	52.025188217429054	92.95774647887323	4.225352112676056	Bacteria	Bacillota	Limnochordia	DTU010	DTU010	UBA3910	UBA3910 sp002391465
METABAT__12	2503370	96	39082	47.28446754592722	94.36619718309859	0.0	Bacteria	Bacillota	Clostridia	Acetivibrionales	DTU013	DTU013	DTU013 sp002385815
METABAT__13	440472	134	3307	43.747037693217	38.1578947368421	0.0	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina flavescens
METABAT__14	2981030	223	20241	50.384155684880284	92.95774647887323	4.225352112676056	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Fermentimonas	Fermentimonas sp012839475
METABAT__15	2067513	109	24636	40.47056440356913	97.1830985915493	0.0	Bacteria	Bacillota	Clostridia	Caldicoprobacterales	DTU083	UBA3906	UBA3906 sp002391555
METABAT__16	1737756	243	8038	46.593308875599796	92.95774647887323	2.816901408450704	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA1179	UBA1179 sp002340405
METABAT__17	1665204	215	10115	36.75068510932161	92.95774647887323	2.816901408450704	Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	UBA5436	UBA5436 sp012522435
METABAT__18	890919	89	15126	36.17797305261913	85.91549295774648	0.0	Bacteria	Bacillota	Bacilli	RFN20	CAG-826	UBA1361	UBA1361 sp002306335
METABAT__19	203306	39	5635	39.77459892893216	0.0	0.0							
METABAT__2	1965711	77	40635	49.988940867592305	92.95774647887323	0.0	Bacteria	Bacillota	Clostridia	Saccharofermentanales	DTU023	UBA4923	UBA4923 sp012841145
METABAT__20	867803	213	4173	39.33938177076217	59.15492957746479	0.0	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Natronincolaceae	JAAZJW01	JAAZJW01 sp012519835
METABAT__21	1821194	263	8484	59.39647175948004	98.6842105263158	3.9473684210526314	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus sp012797575
