Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1	mut_R2	wt_R1	wt_R2
sense	NC_003901.1	Protein Homology	CDS	522	2126	.	+	0	ID=cds-WP_011031956.1;Parent=gene-MM_RS00005;Dbxref=GenBank:WP_011031956.1,GeneID:1478343;Name=WP_011031956.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031956.1;locus_tag=MM_RS00005;product=ABC transporter substrate-binding protein;protein_id=WP_011031956.1;transl_table=11	727.9311831032687	727.1749491475183	764.072783983009	747.9200908733471
sense	NC_003901.1	Protein Homology	CDS	2677	4284	.	+	0	ID=cds-WP_011031957.1;Parent=gene-MM_RS00010;Dbxref=GenBank:WP_011031957.1,GeneID:1478344;Name=WP_011031957.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031957.1;locus_tag=MM_RS00010;product=ABC transporter substrate-binding protein;protein_id=WP_011031957.1;transl_table=11	273.5883571951772	308.3117673473889	214.21717327604583	256.32552959152537
sense	NC_003901.1	Protein Homology	CDS	4615	5607	.	+	0	ID=cds-WP_011031959.1;Parent=gene-MM_RS00015;Dbxref=GenBank:WP_011031959.1,GeneID:1478346;Name=WP_011031959.1;Ontology_term=GO:0055085;gbkey=CDS;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031959.1;locus_tag=MM_RS00015;product=ABC transporter permease;protein_id=WP_011031959.1;transl_table=11	205.65491442462525	247.81472047141082	99.22972845890118	116.16539595734278
sense	NC_003901.1	Protein Homology	CDS	5630	6487	.	+	0	ID=cds-WP_011031960.1;Parent=gene-MM_RS00020;Dbxref=GenBank:WP_011031960.1,GeneID:1478347;Name=WP_011031960.1;Ontology_term=GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410789.1;locus_tag=MM_RS00020;product=ABC transporter permease;protein_id=WP_011031960.1;transl_table=11	155.51296073436095	163.2508588027784	65.41880811616174	71.32671892651182
sense	NC_003901.1	Protein Homology	CDS	6523	7500	.	+	0	ID=cds-WP_011031961.1;Parent=gene-MM_RS00025;Dbxref=GenBank:WP_011031961.1,GeneID:1478348;Name=WP_011031961.1;Ontology_term=GO:0015833,GO:0005524,GO:0015440,GO:0009898,GO:0043190;gbkey=CDS;go_component=cytoplasmic side of plasma membrane|0009898||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA;go_function=ATP binding|0005524||IEA,ABC-type peptide transporter activity|0015440||IEA;go_process=peptide transport|0015833||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410790.1;locus_tag=MM_RS00025;product=oligopeptide/dipeptide ABC transporter ATP-binding protein;protein_id=WP_011031961.1;transl_table=11	94.63360092075085	108.31704738289159	45.7451812254823	55.03446478322585
sense	NC_003901.1	Protein Homology	CDS	7490	8101	.	+	0	ID=cds-WP_011031962.1;Parent=gene-MM_RS00030;Dbxref=GenBank:WP_011031962.1,GeneID:1478349;Name=WP_011031962.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410791.1;locus_tag=MM_RS00030;product=ABC transporter ATP-binding protein;protein_id=WP_011031962.1;transl_table=11	148.33665270858668	164.44641198560052	95.75094305529873	108.0905664533292
sense	NC_003901.1	Protein Homology	CDS	8186	9343	.	-	0	ID=cds-WP_011031963.1;Parent=gene-MM_RS00035;Dbxref=GenBank:WP_011031963.1,GeneID:1478350;Name=WP_011031963.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR00341.1;locus_tag=MM_RS00035;product=TIGR00341 family protein;protein_id=WP_011031963.1;transl_table=11	19.840845699075974	21.727375676853956	16.354494842270874	18.629974261679216
sense	NC_003901.1	Protein Homology	CDS	9608	10900	.	-	0	ID=cds-WP_011031964.1;Parent=gene-MM_RS00040;Dbxref=GenBank:WP_011031964.1,GeneID:1478351;Name=WP_011031964.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031964.1;locus_tag=MM_RS00040;product=TIGR00341 family protein;protein_id=WP_011031964.1;transl_table=11	6.6378241900777315	10.955494228399537	8.066435668530522	7.150649716614031
sense	NC_003901.1	Protein Homology	CDS	11087	11707	.	-	0	ID=cds-WP_048037790.1;Parent=gene-MM_RS00045;Dbxref=GenBank:WP_048037790.1,GeneID:24771895;Name=WP_048037790.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410793.1;locus_tag=MM_RS00045;product=DUF998 domain-containing protein;protein_id=WP_048037790.1;transl_table=11	103.7271189039449	137.1113376709209	80.44080176848095	102.80189878992267
sense	NC_003901.1	Protein Homology	CDS	12435	12590	.	+	0	ID=cds-WP_015410794.1;Parent=gene-MM_RS18865;Dbxref=GenBank:WP_015410794.1,GeneID:43837220;Name=WP_015410794.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410794.1;locus_tag=MM_RS18865;product=hypothetical protein;protein_id=WP_015410794.1;transl_table=11	955.7137689692905	1079.8159214786185	814.6161118230117	1700.423847789414
sense	NC_003901.1	Protein Homology	CDS	12748	13155	.	+	0	ID=cds-WP_011031966.1;Parent=gene-MM_RS00050;Dbxref=GenBank:WP_011031966.1,GeneID:1478353;Name=WP_011031966.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412933.1;locus_tag=MM_RS00050;product=DUF1699 family protein;protein_id=WP_011031966.1;transl_table=11	1015.0072810337551	1142.1567887943488	838.6055955293992	853.7086461103833
sense	NC_003901.1	GeneMarkS-2+	CDS	13767	13943	.	+	0	ID=cds-WP_015410796.1;Parent=gene-MM_RS18145;Dbxref=GenBank:WP_015410796.1,GeneID:43445777;Name=WP_015410796.1;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=MM_RS18145;product=molecular chaperone DnaJ;protein_id=WP_015410796.1;transl_table=11	8.49822433001914	12.134636022914302	6.202736437353532	11.193450464384918
sense	NC_003901.1	Protein Homology	CDS	14436	14801	.	+	0	ID=cds-WP_011031967.1;Parent=gene-MM_RS00055;Dbxref=GenBank:WP_011031967.1,GeneID:1478354;Name=WP_011031967.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031967.1;locus_tag=MM_RS00055;product=DUF1428 domain-containing protein;protein_id=WP_011031967.1;transl_table=11	6.285571900795256	10.47926705725913	6.74928903326788	10.224982528031031
sense	NC_003901.1	Protein Homology	CDS	15146	15637	.	+	0	ID=cds-WP_011031968.1;Parent=gene-MM_RS00060;Dbxref=GenBank:WP_011031968.1,GeneID:1478355;Name=WP_011031968.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031968.1;locus_tag=MM_RS00060;product=hypothetical protein;protein_id=WP_011031968.1;transl_table=11	44.96011795831503	56.439798819121	46.30304928920769	59.50881151356941
sense	NC_003901.1	Protein Homology	CDS	15934	16548	.	+	0	ID=cds-WP_226987774.1;Parent=gene-MM_RS00065;Dbxref=GenBank:WP_226987774.1,GeneID:24771896;Name=WP_226987774.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF013424.5;locus_tag=MM_RS00065;product=undecaprenyl diphosphate synthase family protein;protein_id=WP_226987774.1;transl_table=11	18.025153576887902	27.772954409703743	17.40548358823229	27.56197585891636
sense	NC_003901.1	Protein Homology	CDS	16763	17350	.	-	0	ID=cds-WP_015410800.1;Parent=gene-MM_RS00070;Dbxref=GenBank:WP_015410800.1,GeneID:1478357;Name=WP_015410800.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410800.1;locus_tag=MM_RS00070;product=class I SAM-dependent methyltransferase;protein_id=WP_015410800.1;transl_table=11	16.251706311789302	11.741056355990331	16.804352286911865	13.852212224349364
sense	NC_003901.1	Protein Homology	CDS	17606	17794	.	+	0	ID=cds-WP_015410801.1;Parent=gene-MM_RS00075;Dbxref=GenBank:WP_015410801.1,GeneID:24771897;Name=WP_015410801.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410801.1;locus_tag=MM_RS00075;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410801.1;transl_table=11	610.0074620157623	712.6966159399168	304.2417608488426	459.4941027932825
sense	NC_003901.1	Protein Homology	CDS	18338	18520	.	+	0	ID=cds-WP_015410803.1;Parent=gene-MM_RS00080;Dbxref=GenBank:WP_015410803.1,GeneID:24771898;Name=WP_015410803.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011307332.1;locus_tag=MM_RS00080;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410803.1;transl_table=11	415.8147565141477	423.3623891132689	200.97882899064354	203.8981810001482
sense	NC_003901.1	Protein Homology	CDS	18763	19098	.	+	0	ID=cds-WP_080503005.1;Parent=gene-MM_RS17630;Dbxref=GenBank:WP_080503005.1,GeneID:31474366;Name=WP_080503005.1;Ontology_term=GO:0006413,GO:0003743;gbkey=CDS;gene=eif1A;go_function=translation initiation factor activity|0003743||IEA;go_process=translational initiation|0006413||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015324693.1;locus_tag=MM_RS17630;product=translation initiation factor eIF-1A;protein_id=WP_080503005.1;transl_table=11	25.807107708072827	35.614537613170675	23.689468848910476	18.999993794208923
sense	NC_003901.1	Protein Homology	CDS	19760	20581	.	-	0	ID=cds-WP_011031972.1;Parent=gene-MM_RS00090;Dbxref=GenBank:WP_011031972.1,GeneID:1478359;Name=WP_011031972.1;Ontology_term=GO:0008168,GO:1904047;gbkey=CDS;go_function=methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031972.1;locus_tag=MM_RS00090;product=class I SAM-dependent methyltransferase;protein_id=WP_011031972.1;transl_table=11	53.92851287484666	83.05392825380996	38.06533328251812	53.293715288865904
sense	NC_003901.1	Protein Homology	CDS	21940	22137	.	+	0	ID=cds-WP_015410804.1;Parent=gene-MM_RS00095;Dbxref=GenBank:WP_015410804.1,GeneID:24771899;Name=WP_015410804.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410804.1;locus_tag=MM_RS00095;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410804.1;transl_table=11	134.95664983269253	174.33689740712916	130.30445561197988	181.22460120536996
sense	NC_003901.1	Protein Homology	CDS	22682	23977	.	-	0	ID=cds-WP_011031974.1;Parent=gene-MM_RS00105;Dbxref=GenBank:WP_011031974.1,GeneID:1478361;Name=WP_011031974.1;Ontology_term=GO:0005524;gbkey=CDS;go_function=ATP binding|0005524||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031974.1;locus_tag=MM_RS00105;product=ATP-binding protein;protein_id=WP_011031974.1;transl_table=11	109.16816197145094	108.31486866683673	117.5397017599198	110.23878902565919
sense	NC_003901.1	Protein Homology	CDS	24297	25382	.	-	0	ID=cds-WP_015410806.1;Parent=gene-MM_RS00110;Dbxref=GenBank:WP_015410806.1,GeneID:1478362;Name=WP_015410806.1;Ontology_term=GO:0005515;gbkey=CDS;go_function=protein binding|0005515||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410806.1;locus_tag=MM_RS00110;product=HEAT repeat domain-containing protein;protein_id=WP_015410806.1;transl_table=11	11.936041923386487	9.358969722684742	8.40346561186346	9.121734494457323
sense	NC_003901.1	Protein Homology	CDS	26001	26186	.	+	0	ID=cds-WP_015410807.1;Parent=gene-MM_RS00115;Dbxref=GenBank:WP_015410807.1,GeneID:1478363;Name=WP_015410807.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410807.1;locus_tag=MM_RS00115;product=CxxC-x17-CxxC domain-containing protein;protein_id=WP_015410807.1;transl_table=11	62.793331197522825	65.43569855367228	72.67581210822591	91.13233953351377
