Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1	mut_R2	wt_R1	wt_R2
sense	NC_003901.1	Protein Homology	CDS	522	2126	.	+	0	ID=cds-WP_011031956.1;Parent=gene-MM_RS00005;Dbxref=GenBank:WP_011031956.1,GeneID:1478343;Name=WP_011031956.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031956.1;locus_tag=MM_RS00005;product=ABC transporter substrate-binding protein;protein_id=WP_011031956.1;transl_table=11	656.8103532973736	609.4955230548862	656.3775642562401	551.1212032270369
sense	NC_003901.1	Protein Homology	CDS	2677	4284	.	+	0	ID=cds-WP_011031957.1;Parent=gene-MM_RS00010;Dbxref=GenBank:WP_011031957.1,GeneID:1478344;Name=WP_011031957.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031957.1;locus_tag=MM_RS00010;product=ABC transporter substrate-binding protein;protein_id=WP_011031957.1;transl_table=11	246.85804059299332	258.4173755210754	184.0234979759659	188.87904738771212
sense	NC_003901.1	Protein Homology	CDS	4615	5607	.	+	0	ID=cds-WP_011031959.1;Parent=gene-MM_RS00015;Dbxref=GenBank:WP_011031959.1,GeneID:1478346;Name=WP_011031959.1;Ontology_term=GO:0055085;gbkey=CDS;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031959.1;locus_tag=MM_RS00015;product=ABC transporter permease;protein_id=WP_011031959.1;transl_table=11	185.56187746310147	207.71062431605003	85.24340721591523	85.59900124971675
sense	NC_003901.1	Protein Homology	CDS	5630	6487	.	+	0	ID=cds-WP_011031960.1;Parent=gene-MM_RS00020;Dbxref=GenBank:WP_011031960.1,GeneID:1478347;Name=WP_011031960.1;Ontology_term=GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410789.1;locus_tag=MM_RS00020;product=ABC transporter permease;protein_id=WP_011031960.1;transl_table=11	140.31892719145353	136.8318142584606	56.19809896119459	52.55864581885199
sense	NC_003901.1	Protein Homology	CDS	6523	7500	.	+	0	ID=cds-WP_011031961.1;Parent=gene-MM_RS00025;Dbxref=GenBank:WP_011031961.1,GeneID:1478348;Name=WP_011031961.1;Ontology_term=GO:0015833,GO:0005524,GO:0015440,GO:0009898,GO:0043190;gbkey=CDS;go_component=cytoplasmic side of plasma membrane|0009898||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA;go_function=ATP binding|0005524||IEA,ABC-type peptide transporter activity|0015440||IEA;go_process=peptide transport|0015833||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410790.1;locus_tag=MM_RS00025;product=oligopeptide/dipeptide ABC transporter ATP-binding protein;protein_id=WP_011031961.1;transl_table=11	85.3876441857872	90.78799472917967	39.29744817335368	40.55334362641638
sense	NC_003901.1	Protein Homology	CDS	7490	8101	.	+	0	ID=cds-WP_011031962.1;Parent=gene-MM_RS00030;Dbxref=GenBank:WP_011031962.1,GeneID:1478349;Name=WP_011031962.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410791.1;locus_tag=MM_RS00030;product=ABC transporter ATP-binding protein;protein_id=WP_011031962.1;transl_table=11	133.84376371558017	137.83388991213704	82.25495279422559	79.64888731854981
sense	NC_003901.1	Protein Homology	CDS	8186	9343	.	-	0	ID=cds-WP_011031963.1;Parent=gene-MM_RS00035;Dbxref=GenBank:WP_011031963.1,GeneID:1478350;Name=WP_011031963.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR00341.1;locus_tag=MM_RS00035;product=TIGR00341 family protein;protein_id=WP_011031963.1;transl_table=11	17.902341836453534	18.21121343398702	14.049346756276702	13.727902160237669
sense	NC_003901.1	Protein Homology	CDS	9608	10900	.	-	0	ID=cds-WP_011031964.1;Parent=gene-MM_RS00040;Dbxref=GenBank:WP_011031964.1,GeneID:1478351;Name=WP_011031964.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031964.1;locus_tag=MM_RS00040;product=TIGR00341 family protein;protein_id=WP_011031964.1;transl_table=11	5.989290955807701	9.182555989987172	6.929480420359348	5.269111932898649
sense	NC_003901.1	Protein Homology	CDS	11087	11707	.	-	0	ID=cds-WP_048037790.1;Parent=gene-MM_RS00045;Dbxref=GenBank:WP_048037790.1,GeneID:24771895;Name=WP_048037790.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410793.1;locus_tag=MM_RS00045;product=DUF998 domain-containing protein;protein_id=WP_048037790.1;transl_table=11	93.59270106189904	114.9224771404218	69.10275910676684	75.7518174020016
sense	NC_003901.1	Protein Homology	CDS	12435	12590	.	+	0	ID=cds-WP_015410794.1;Parent=gene-MM_RS18865;Dbxref=GenBank:WP_015410794.1,GeneID:43837220;Name=WP_015410794.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410794.1;locus_tag=MM_RS18865;product=hypothetical protein;protein_id=WP_015410794.1;transl_table=11	862.3379693281138	905.0682653963239	699.7968655485673	1252.9943351238906
sense	NC_003901.1	Protein Homology	CDS	12748	13155	.	+	0	ID=cds-WP_011031966.1;Parent=gene-MM_RS00050;Dbxref=GenBank:WP_011031966.1,GeneID:1478353;Name=WP_011031966.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015412933.1;locus_tag=MM_RS00050;product=DUF1699 family protein;protein_id=WP_011031966.1;transl_table=11	915.8383461649419	957.3204497940956	720.405057874017	629.0738034597775
