key	V_jascida_12	V_jascida_13	V_jascida_14	V_jascida_47	V_jascida_52	V_jascida_53	V_jascida_55	V_jascida_ref
V_jascida_12	5814827.0	5805173.0	5236168.0	5470347.0	5227175.0	5236322.0	5235183.0	5196318.0
V_jascida_13	5805514.0	5812569.0	5224575.0	5465054.0	5212115.0	5225729.0	5223731.0	5181546.0
V_jascida_14	5231814.0	5231281.0	5861661.0	5236892.0	5324554.0	5848792.0	5850816.0	5181879.0
V_jascida_47	5475824.0	5476145.0	5245875.0	5821176.0	5209129.0	5245191.0	5246071.0	5171766.0
V_jascida_52	5245628.0	5244905.0	5338889.0	5230760.0	6303185.0	5337327.0	5339472.0	5177387.0
V_jascida_53	5230949.0	5231208.0	5847103.0	5234105.0	5320454.0	5853972.0	5846878.0	5175266.0
V_jascida_55	5228609.0	5229509.0	5851125.0	5233397.0	5315294.0	5848740.0	5857980.0	5178221.0
V_jascida_ref	5207364.0	5207998.0	5190064.0	5192992.0	5166846.0	5192069.0	5190097.0	5989523.0
