Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1	mut_R2	wt_R1	wt_R2
sense	NC_003901.1	Protein Homology	CDS	522	2126	.	+	0	ID=cds-WP_011031956.1;Parent=gene-MM_RS00005;Dbxref=GenBank:WP_011031956.1,GeneID:1478343;Name=WP_011031956.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031956.1;locus_tag=MM_RS00005;product=ABC transporter substrate-binding protein;protein_id=WP_011031956.1;transl_table=11	0.0011683295488807463	0.001167115793381767	0.0012263368182927295	0.0012004117458517221
sense	NC_003901.1	Protein Homology	CDS	2677	4284	.	+	0	ID=cds-WP_011031957.1;Parent=gene-MM_RS00010;Dbxref=GenBank:WP_011031957.1,GeneID:1478344;Name=WP_011031957.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031957.1;locus_tag=MM_RS00010;product=ABC transporter substrate-binding protein;protein_id=WP_011031957.1;transl_table=11	0.00043993007836984495	0.0004957653218946014	0.0003444612146278817	0.0004121714515831728
sense	NC_003901.1	Protein Homology	CDS	4615	5607	.	+	0	ID=cds-WP_011031959.1;Parent=gene-MM_RS00015;Dbxref=GenBank:WP_011031959.1,GeneID:1478346;Name=WP_011031959.1;Ontology_term=GO:0055085;gbkey=CDS;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031959.1;locus_tag=MM_RS00015;product=ABC transporter permease;protein_id=WP_011031959.1;transl_table=11	0.00020421533002365288	0.00024608001742811096	9.853512035968887e-05	0.00011535223818564138
sense	NC_003901.1	Protein Homology	CDS	5630	6487	.	+	0	ID=cds-WP_011031960.1;Parent=gene-MM_RS00020;Dbxref=GenBank:WP_011031960.1,GeneID:1478347;Name=WP_011031960.1;Ontology_term=GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410789.1;locus_tag=MM_RS00020;product=ABC transporter permease;protein_id=WP_011031960.1;transl_table=11	0.0001334301203100817	0.00014006923685278385	5.612933736366678e-05	6.119832483894714e-05
sense	NC_003901.1	Protein Homology	CDS	6523	7500	.	+	0	ID=cds-WP_011031961.1;Parent=gene-MM_RS00025;Dbxref=GenBank:WP_011031961.1,GeneID:1478348;Name=WP_011031961.1;Ontology_term=GO:0015833,GO:0005524,GO:0015440,GO:0009898,GO:0043190;gbkey=CDS;go_component=cytoplasmic side of plasma membrane|0009898||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA;go_function=ATP binding|0005524||IEA,ABC-type peptide transporter activity|0015440||IEA;go_process=peptide transport|0015833||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410790.1;locus_tag=MM_RS00025;product=oligopeptide/dipeptide ABC transporter ATP-binding protein;protein_id=WP_011031961.1;transl_table=11	9.255166170049433e-05	0.00010593407234046797	4.473878723852169e-05	5.382370655799488e-05
sense	NC_003901.1	Protein Homology	CDS	7490	8101	.	+	0	ID=cds-WP_011031962.1;Parent=gene-MM_RS00030;Dbxref=GenBank:WP_011031962.1,GeneID:1478349;Name=WP_011031962.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410791.1;locus_tag=MM_RS00030;product=ABC transporter ATP-binding protein;protein_id=WP_011031962.1;transl_table=11	9.078203145765504e-05	0.00010064120413518753	5.859957714984282e-05	6.615142666943746e-05
sense	NC_003901.1	Protein Homology	CDS	8186	9343	.	-	0	ID=cds-WP_011031963.1;Parent=gene-MM_RS00035;Dbxref=GenBank:WP_011031963.1,GeneID:1478350;Name=WP_011031963.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR00341.1;locus_tag=MM_RS00035;product=TIGR00341 family protein;protein_id=WP_011031963.1;transl_table=11	2.2975699319529977e-05	2.5160301033796882e-05	1.8938505027349673e-05	2.1573510195024532e-05
sense	NC_003901.1	Protein Homology	CDS	9608	10900	.	-	0	ID=cds-WP_011031964.1;Parent=gene-MM_RS00040;Dbxref=GenBank:WP_011031964.1,GeneID:1478351;Name=WP_011031964.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031964.1;locus_tag=MM_RS00040;product=TIGR00341 family protein;protein_id=WP_011031964.1;transl_table=11	8.582706677770507e-06	1.4165454037320601e-05	1.0429901319409964e-05	9.245790083581943e-06
sense	NC_003901.1	Protein Homology	CDS	11087	11707	.	-	0	ID=cds-WP_048037790.1;Parent=gene-MM_RS00045;Dbxref=GenBank:WP_048037790.1,GeneID:24771895;Name=WP_048037790.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410793.1;locus_tag=MM_RS00045;product=DUF998 domain-containing protein;protein_id=WP_048037790.1;transl_table=11	6.441454083934978e-05	8.514614069364188e-05	4.995373789822667e-05	6.383997914854199e-05
sense	NC_003901.1	Protein Homology	CDS	12435	12590	.	+	0	ID=cds-WP_015410794.1;Parent=gene-MM_RS18865;Dbxref=GenBank:WP_015410794.1,GeneID:43837220;Name=WP_015410794.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410794.1;locus_tag=MM_RS18865;product=hypothetical protein;protein_id=WP_015410794.1;transl_table=11	0.0001490913479592093	0.00016845128375066448	0.00012708011344438982	0.00026526612025514856
