# Reference library (divisor): mut
# Comparison library (numerator): wt
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	mut_R1 raw countings	mut_R2 raw countings	wt_R1 raw countings	wt_R2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_003901.1	Protein Homology	CDS	522	2126	.	+	0	ID=cds-WP_011031956.1;Parent=gene-MM_RS00005;Dbxref=GenBank:WP_011031956.1,GeneID:1478343;Name=WP_011031956.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031956.1;locus_tag=MM_RS00005;product=ABC transporter substrate-binding protein;protein_id=WP_011031956.1;transl_table=11	6602.111111111111	7607.5	4468.0	5453.0	5952.38393581468	0.286146448148528	0.157891558611189	1.81229731763665	0.0699402688082438	0.231041319801778
sense	NC_003901.1	Protein Homology	CDS	2677	4284	.	+	0	ID=cds-WP_011031957.1;Parent=gene-MM_RS00010;Dbxref=GenBank:WP_011031957.1,GeneID:1478344;Name=WP_011031957.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031957.1;locus_tag=MM_RS00010;product=ABC transporter substrate-binding protein;protein_id=WP_011031957.1;transl_table=11	2486.0	3231.5	1255.0	1872.3333333333335	2075.76938870192	-0.0629507752189323	0.140865833944343	-0.446884623874122	0.654958366461182	0.829975575981978
sense	NC_003901.1	Protein Homology	CDS	4615	5607	.	+	0	ID=cds-WP_011031959.1;Parent=gene-MM_RS00015;Dbxref=GenBank:WP_011031959.1,GeneID:1478346;Name=WP_011031959.1;Ontology_term=GO:0055085;gbkey=CDS;go_process=transmembrane transport|0055085||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031959.1;locus_tag=MM_RS00015;product=ABC transporter permease;protein_id=WP_011031959.1;transl_table=11	1154.0	1604.0	359.0	524.0	796.618646114551	-0.777872837650738	0.156479012420538	-4.97110012146677	6.65740566239519e-07	2.10173813523265e-05
sense	NC_003901.1	Protein Homology	CDS	5630	6487	.	+	0	ID=cds-WP_011031960.1;Parent=gene-MM_RS00020;Dbxref=GenBank:WP_011031960.1,GeneID:1478347;Name=WP_011031960.1;Ontology_term=GO:0042626,GO:0140359;gbkey=CDS;go_function=ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410789.1;locus_tag=MM_RS00020;product=ABC transporter permease;protein_id=WP_011031960.1;transl_table=11	754.0	913.0	204.5	278.0	469.021653872326	-0.903747990594278	0.175175206714974	-5.15910902885224	2.48127792220591e-07	8.79643282908852e-06
sense	NC_003901.1	Protein Homology	CDS	6523	7500	.	+	0	ID=cds-WP_011031961.1;Parent=gene-MM_RS00025;Dbxref=GenBank:WP_011031961.1,GeneID:1478348;Name=WP_011031961.1;Ontology_term=GO:0015833,GO:0005524,GO:0015440,GO:0009898,GO:0043190;gbkey=CDS;go_component=cytoplasmic side of plasma membrane|0009898||IEA,ATP-binding cassette (ABC) transporter complex|0043190||IEA;go_function=ATP binding|0005524||IEA,ABC-type peptide transporter activity|0015440||IEA;go_process=peptide transport|0015833||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410790.1;locus_tag=MM_RS00025;product=oligopeptide/dipeptide ABC transporter ATP-binding protein;protein_id=WP_011031961.1;transl_table=11	523.0	690.5	163.0	244.5	356.90959302988	-0.70654517918428	0.179058564968843	-3.9458887616307	7.95045202852202e-05	0.00130576068061658
sense	NC_003901.1	Protein Homology	CDS	7490	8101	.	+	0	ID=cds-WP_011031962.1;Parent=gene-MM_RS00030;Dbxref=GenBank:WP_011031962.1,GeneID:1478349;Name=WP_011031962.1;Ontology_term=GO:0005524,GO:0016887,GO:0042626,GO:0140359;gbkey=CDS;go_function=ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410791.1;locus_tag=MM_RS00030;product=ABC transporter ATP-binding protein;protein_id=WP_011031962.1;transl_table=11	513.0	656.0	213.5	300.5	385.159969504179	-0.344810465887448	0.17717402518596	-1.94616826888444	0.0516345301655054	0.189969079684387
sense	NC_003901.1	Protein Homology	CDS	8186	9343	.	-	0	ID=cds-WP_011031963.1;Parent=gene-MM_RS00035;Dbxref=GenBank:WP_011031963.1,GeneID:1478350;Name=WP_011031963.1;gbkey=CDS;inference=COORDINATES: protein motif:HMM:TIGR00341.1;locus_tag=MM_RS00035;product=TIGR00341 family protein;protein_id=WP_011031963.1;transl_table=11	129.83333333333331	164.0	69.0	98.0	109.163791407578	-0.00834170824809426	0.237408653192994	-0.0351364962308814	0.97197089958545	0.985875577492988
sense	NC_003901.1	Protein Homology	CDS	9608	10900	.	-	0	ID=cds-WP_011031964.1;Parent=gene-MM_RS00040;Dbxref=GenBank:WP_011031964.1,GeneID:1478351;Name=WP_011031964.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011031964.1;locus_tag=MM_RS00040;product=TIGR00341 family protein;protein_id=WP_011031964.1;transl_table=11	48.5	92.33333333333333	38.0	42.0	52.1100860794603	0.0441261391537007	0.289646314548137	0.152344901134129	0.878914912215787	0.94184860602583
sense	NC_003901.1	Protein Homology	CDS	11087	11707	.	-	0	ID=cds-WP_048037790.1;Parent=gene-MM_RS00045;Dbxref=GenBank:WP_048037790.1,GeneID:24771895;Name=WP_048037790.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410793.1;locus_tag=MM_RS00045;product=DUF998 domain-containing protein;protein_id=WP_048037790.1;transl_table=11	364.0	555.0	182.0	290.0	320.61651236892	-0.137827563135405	0.184103387803858	-0.748642188389521	0.454072896841659	0.701376148309618
sense	NC_003901.1	Protein Homology	CDS	12435	12590	.	+	0	ID=cds-WP_015410794.1;Parent=gene-MM_RS18865;Dbxref=GenBank:WP_015410794.1,GeneID:43837220;Name=WP_015410794.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015410794.1;locus_tag=MM_RS18865;product=hypothetical protein;protein_id=WP_015410794.1;transl_table=11	842.5	1098.0	463.0	1205.0	870.084053230919	0.455486682468981	0.195112857354492	2.33447804847339	0.0195707041865291	0.0947022228744271
