bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
MAXBIN__001	763123	350	2216	45.70407877136737	0.0	0.0
MAXBIN__002	2389727	148	75874	51.608437566997665	91.54929577464789	1.408450704225352
MAXBIN__003	2158736	102	34501	59.31160619771715	56.33802816901409	1.408450704225352
MAXBIN__004	2563465	126	50679	56.621678652340194	97.1830985915493	54.929577464788736
MAXBIN__005	910736	317	3519	31.359888740137766	85.91549295774648	0.0
MAXBIN__006	2613213	273	94895	51.83960163127035	92.95774647887323	4.225352112676056
MAXBIN__007	1958915	118	27052	40.795406211230926	91.54929577464789	0.0
MAXBIN__008	1628194	720	2474	39.248769885155404	0.0	0.0
MAXBIN__009	902182	567	1604	32.23795890721372	47.88732394366197	0.0
MAXBIN__010	2588887	151	38941	47.33900297004389	94.36619718309859	0.0
MAXBIN__011	3144170	922	4404	59.18249629551093	94.73684210526316	73.6842105263158
MAXBIN__012	2311874	576	6734	47.280937102925364	92.95774647887323	2.816901408450704
MAXBIN__013	2849967	710	12047	46.67146174962892	91.54929577464789	16.901408450704224
MAXBIN__014	2630196	721	5603	41.75123953931932	100.0	21.12676056338028
MAXBIN__015	3202912	694	7972	48.40171798806851	84.50704225352112	45.070422535211264
MAXBIN__016	2283951	569	6474	49.63767727012504	90.14084507042253	15.492957746478874
MAXBIN__017	1957751	494	7890	45.225412579090104	90.14084507042253	16.901408450704224
MAXBIN__018	2126407	775	3665	60.41756337178378	88.73239436619718	7.042253521126761
MAXBIN__019	1750264	482	4993	52.058183170127215	87.32394366197182	4.225352112676056
MAXBIN__020	1925000	1031	1965	63.241817262182906	0.0	0.0
MAXBIN__021	2050669	520	10083	52.22064592204387	83.09859154929578	36.61971830985915
MAXBIN__022	2697492	710	6435	48.62073189107036	90.14084507042253	30.985915492957748
MAXBIN__023	3086341	1235	3035	43.37020203975435	83.09859154929578	9.859154929577464
MAXBIN__024	1481931	775	2028	45.24315130701464	64.78873239436619	19.718309859154928
MAXBIN__025	1612984	897	1742	36.339706460392044	66.19718309859155	63.38028169014085
MAXBIN__026	1029492	178	12188	35.97279787102657	87.32394366197182	4.225352112676056
MAXBIN__027	2989947	933	5020	46.6302716078132	69.01408450704226	15.492957746478874
MAXBIN__028	537517	189	4350	35.524539354603206	53.521126760563384	30.985915492957748
MAXBIN__029	2240969	1006	2553	38.45053191599651	84.50704225352112	23.943661971830984
MAXBIN__030	2500872	917	3648	39.53861067957576	80.28169014084507	30.985915492957748
MAXBIN__031	1959542	1186	1618	43.03000460113418	69.01408450704226	29.577464788732396
MAXBIN__032	2056453	1191	1719	55.79468408685957	29.577464788732396	9.859154929577464
MAXBIN__033	2831461	1336	2220	43.93039517553783	0.0	0.0
MAXBIN__034	623098	115	30943	49.97454893518025	52.11267605633803	9.859154929577464
MAXBIN__035	537864	70	14587	50.72499382665734	36.61971830985915	4.225352112676056
MAXBIN__036	1647926	909	1689	57.97645613915186	63.38028169014085	25.35211267605634
MAXBIN__037	1593578	314	8226	47.40185038240611	88.73239436619718	2.816901408450704
MAXBIN__038	1631065	452	6188	53.630763843782816	59.15492957746479	29.577464788732396
MAXBIN__039	1415731	862	1563	51.46637891551536	54.929577464788736	11.267605633802816
MAXBIN__040	1698968	1061	1496	40.58926002520652	25.35211267605634	9.859154929577464
MAXBIN__041	1305060	431	3806	49.00920916545461	80.28169014084507	2.816901408450704
MAXBIN__042	1597505	916	1766	36.448773381814505	35.2112676056338	11.267605633802816
MAXBIN__043	2179547	1338	1580	49.241129028155115	49.29577464788732	22.535211267605632
MAXBIN__044	617656	218	3408	51.28719338704569	25.35211267605634	1.408450704225352
MAXBIN__045	2933831	1864	1533	34.92681934413896	73.2394366197183	52.11267605633803
MAXBIN__046	3140654	1575	2097	51.78138838234756	88.73239436619718	97.1830985915493
MAXBIN__047	2289641	1051	2438	54.67250629792548	57.74647887323944	19.718309859154928
MAXBIN__048	2931069	829	6778	50.03432223710848	80.28169014084507	21.12676056338028
MAXBIN__049	2246509	1498	1460	51.74740939183451	70.4225352112676	42.25352112676056
MAXBIN__050	2953813	1667	1728	39.841304055767246	83.09859154929578	63.38028169014085
MAXBIN__051	2998560	1724	1685	45.27210109448859	32.394366197183096	15.492957746478874
MAXBIN__052	2267102	1469	1500	37.02157858853471	26.760563380281692	15.492957746478874
MAXBIN__053	948193	380	2869	31.92511573202192	73.2394366197183	30.985915492957748
MAXBIN__054	1247275	777	1496	31.75002836425192	45.070422535211264	8.450704225352112
MAXBIN__055	3478938	1452	2949	40.96447935012673	83.09859154929578	26.760563380281692
MAXBIN__056	1664095	1057	1566	42.746295399958356	30.985915492957748	14.084507042253522
MAXBIN__057	3332185	1359	3132	36.77257830506204	95.77464788732394	42.25352112676056
MAXBIN__058	3885679	1586	2956	54.4235429727961	53.521126760563384	35.2112676056338
MAXBIN__059	2932784	621	15393	46.95102866477593	92.95774647887323	18.309859154929576
MAXBIN__060	662670	392	1664	31.618481275316242	28.169014084507044	11.267605633802816
MAXBIN__061	1637456	995	1587	40.60889610039494	42.25352112676056	35.2112676056338
MAXBIN__062	4011665	996	14132	51.746046130388265	95.77464788732394	52.11267605633803
MAXBIN__063	1619815	934	1771	41.708062906631405	74.64788732394366	33.80281690140845
MAXBIN__064	340738	208	1642	37.034841872239056	35.2112676056338	0.0
