locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJOGNDPK_00001	gene	1359				
IJOGNDPK_00001	CDS	1359				hypothetical protein
IJOGNDPK_00002	gene	138				
IJOGNDPK_00002	CDS	138				hypothetical protein
IJOGNDPK_00003	gene	549				
IJOGNDPK_00003	CDS	549				hypothetical protein
IJOGNDPK_00004	gene	1026				
IJOGNDPK_00004	CDS	1026				hypothetical protein
IJOGNDPK_00005	gene	3243				
IJOGNDPK_00005	CDS	3243				TonB-dependent receptor P3
IJOGNDPK_00006	gene	1620				
IJOGNDPK_00006	CDS	1620				SusD-like protein P2
IJOGNDPK_00007	gene	2553				
IJOGNDPK_00007	CDS	2553				hypothetical protein
IJOGNDPK_00008	gene	2097				
IJOGNDPK_00008	CDS	2097				hypothetical protein
IJOGNDPK_00009	gene	3255	tri1_1			
IJOGNDPK_00009	CDS	3255	tri1_1	3.4.21.-	COG0793	Tricorn protease 
IJOGNDPK_00010	gene	942	mdh_1			
IJOGNDPK_00010	CDS	942	mdh_1	1.1.1.37		Malate dehydrogenase
IJOGNDPK_00011	gene	879				
IJOGNDPK_00011	CDS	879				hypothetical protein
IJOGNDPK_00012	gene	1467				
IJOGNDPK_00012	CDS	1467				hypothetical protein
IJOGNDPK_00013	gene	987				
IJOGNDPK_00013	CDS	987				hypothetical protein
IJOGNDPK_00014	gene	1182				
IJOGNDPK_00014	CDS	1182				hypothetical protein
IJOGNDPK_00015	gene	1239				
IJOGNDPK_00015	CDS	1239				hypothetical protein
IJOGNDPK_00016	gene	1548				
IJOGNDPK_00016	CDS	1548		3.2.1.-		Glycosyl hydrolase family 109 protein 1
IJOGNDPK_00017	gene	3861				
IJOGNDPK_00017	CDS	3861				hypothetical protein
IJOGNDPK_00018	gene	2229				
IJOGNDPK_00018	CDS	2229				hypothetical protein
IJOGNDPK_00019	gene	843				
IJOGNDPK_00019	CDS	843				hypothetical protein
IJOGNDPK_00020	gene	1854				
IJOGNDPK_00020	CDS	1854				hypothetical protein
IJOGNDPK_00021	gene	3309				
IJOGNDPK_00021	CDS	3309				TonB-dependent receptor P39
IJOGNDPK_00022	gene	1182				
IJOGNDPK_00022	CDS	1182				hypothetical protein
IJOGNDPK_00023	gene	531	algU_1			
IJOGNDPK_00023	CDS	531	algU_1		COG1595	RNA polymerase sigma-H factor
IJOGNDPK_00024	gene	261				
IJOGNDPK_00024	CDS	261				hypothetical protein
IJOGNDPK_00025	gene	363				
IJOGNDPK_00025	CDS	363				hypothetical protein
IJOGNDPK_00026	gene	1821				
IJOGNDPK_00026	CDS	1821				hypothetical protein
IJOGNDPK_00027	gene	1101				
IJOGNDPK_00027	CDS	1101				Iron-sulfur cluster carrier protein
IJOGNDPK_00028	gene	759	trmB			
IJOGNDPK_00028	CDS	759	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
IJOGNDPK_00029	gene	1020	ilvE			
IJOGNDPK_00029	CDS	1020	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
IJOGNDPK_00030	gene	216				
IJOGNDPK_00030	CDS	216				hypothetical protein
IJOGNDPK_00031	gene	1236	xseA			
IJOGNDPK_00031	CDS	1236	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
IJOGNDPK_00032	gene	1362				
IJOGNDPK_00032	CDS	1362				hypothetical protein
