virus_id	vBins_members	vBins_proteins	vBins_redundancy	vBins_membership	membership_provirus	membership_taxonomy	membership_Genome type	membership_Host type	vBins_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	kmer_freq	vBins_warnings	Covered Fraction_BGR_130305	RPKM_BGR_130305	Covered Fraction_BGR_130527	RPKM_BGR_130527	Covered Fraction_BGR_130708	RPKM_BGR_130708	Covered Fraction_BGR_130829	RPKM_BGR_130829	Covered Fraction_BGR_130925	RPKM_BGR_130925	Covered Fraction_BGR_131021	RPKM_BGR_131021	Covered Fraction_BGR_131118	RPKM_BGR_131118	Covered Fraction_BGR_140106	RPKM_BGR_140106	Covered Fraction_BGR_140121	RPKM_BGR_140121	Covered Fraction_BGR_140221	RPKM_BGR_140221	Covered Fraction_BGR_140320	RPKM_BGR_140320	Covered Fraction_BGR_140423	RPKM_BGR_140423	Covered Fraction_BGR_140605	RPKM_BGR_140605	Covered Fraction_BGR_140717	RPKM_BGR_140717	Covered Fraction_BGR_140821	RPKM_BGR_140821	Covered Fraction_BGR_140919	RPKM_BGR_140919	Covered Fraction_BGR_141022	RPKM_BGR_141022	Covered Fraction_BGR_150108	RPKM_BGR_150108
vBin_1	5	116	0	BGR_140221_NODE_182_length_25630_cov_13.173568	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	78604	107	21	1	Medium-quality	Genome-fragment	64.81	AAI-based (medium-confidence)	1.0		0.6018278	159.14496	0.54346776	111.13649	0.77527875	162.88837	0.92348915	99.39858	0.803345	108.005936	0.86748385	63.641525	0.82061756	194.22815	0.5481009	208.02072	0.86395806	352.1497	0.985375	512.6824	0.9091696	422.3766	0.747187	426.3439	0.86565095	382.4866	0.9892699	384.49045	0.912899	201.72775	0.71096176	77.23127	0.808551	153.36151	0.90844405	261.1174
vBin_1	5	116	0	BGR_140221_NODE_339_length_17014_cov_13.774751	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	78604	107	21	1	Medium-quality	Genome-fragment	64.81	AAI-based (medium-confidence)	1.0		0.6018278	159.14496	0.54346776	111.13649	0.77527875	162.88837	0.92348915	99.39858	0.803345	108.005936	0.86748385	63.641525	0.82061756	194.22815	0.5481009	208.02072	0.86395806	352.1497	0.985375	512.6824	0.9091696	422.3766	0.747187	426.3439	0.86565095	382.4866	0.9892699	384.49045	0.912899	201.72775	0.71096176	77.23127	0.808551	153.36151	0.90844405	261.1174
vBin_1	5	116	0	BGR_140221_NODE_422_length_14614_cov_13.672436	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	78604	107	21	1	Medium-quality	Genome-fragment	64.81	AAI-based (medium-confidence)	1.0		0.6018278	159.14496	0.54346776	111.13649	0.77527875	162.88837	0.92348915	99.39858	0.803345	108.005936	0.86748385	63.641525	0.82061756	194.22815	0.5481009	208.02072	0.86395806	352.1497	0.985375	512.6824	0.9091696	422.3766	0.747187	426.3439	0.86565095	382.4866	0.9892699	384.49045	0.912899	201.72775	0.71096176	77.23127	0.808551	153.36151	0.90844405	261.1174
vBin_1	5	116	0	BGR_140221_NODE_636_length_10590_cov_12.273090	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	78604	107	21	1	Medium-quality	Genome-fragment	64.81	AAI-based (medium-confidence)	1.0		0.6018278	159.14496	0.54346776	111.13649	0.77527875	162.88837	0.92348915	99.39858	0.803345	108.005936	0.86748385	63.641525	0.82061756	194.22815	0.5481009	208.02072	0.86395806	352.1497	0.985375	512.6824	0.9091696	422.3766	0.747187	426.3439	0.86565095	382.4866	0.9892699	384.49045	0.912899	201.72775	0.71096176	77.23127	0.808551	153.36151	0.90844405	261.1174
vBin_1	5	116	0	BGR_140717_NODE_791_length_10716_cov_15.477160	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	78604	107	21	1	Medium-quality	Genome-fragment	64.81	AAI-based (medium-confidence)	1.0		0.6018278	159.14496	0.54346776	111.13649	0.77527875	162.88837	0.92348915	99.39858	0.803345	108.005936	0.86748385	63.641525	0.82061756	194.22815	0.5481009	208.02072	0.86395806	352.1497	0.985375	512.6824	0.9091696	422.3766	0.747187	426.3439	0.86565095	382.4866	0.9892699	384.49045	0.912899	201.72775	0.71096176	77.23127	0.808551	153.36151	0.90844405	261.1174
vBin_2	6	33	9	BGR_130527_NODE_2276_length_4062_cov_55.553781	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	26332	32	9	1	Medium-quality	Genome-fragment	59.21	AAI-based (medium-confidence)	1.36		0.9671258	1256.9462	0.95947796	1335.8727	0.9810136	1081.0511	0.9745834	457.3334	0.94878626	442.2074	0.9889658	1039.84	0.94193745	490.5643	0.8392816	562.22986	0.9375999	824.0797	0.9565482	500.23022	0.7390229	166.98112	0.8260026	652.45245	0.9227989	592.8853	0.9652614	288.0106	0.9013393	220.1217	0.97720873	494.8647	0.97359407	846.641	0.96054333	646.4817
vBin_2	6	33	9	BGR_140106_NODE_2237_length_2644_cov_9.415991	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	26332	32	9	1	Medium-quality	Genome-fragment	59.21	AAI-based (medium-confidence)	1.36		0.9671258	1256.9462	0.95947796	1335.8727	0.9810136	1081.0511	0.9745834	457.3334	0.94878626	442.2074	0.9889658	1039.84	0.94193745	490.5643	0.8392816	562.22986	0.9375999	824.0797	0.9565482	500.23022	0.7390229	166.98112	0.8260026	652.45245	0.9227989	592.8853	0.9652614	288.0106	0.9013393	220.1217	0.97720873	494.8647	0.97359407	846.641	0.96054333	646.4817
vBin_2	6	33	9	BGR_140423_NODE_632_length_5724_cov_12.170224	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	26332	32	9	1	Medium-quality	Genome-fragment	59.21	AAI-based (medium-confidence)	1.36		0.9671258	1256.9462	0.95947796	1335.8727	0.9810136	1081.0511	0.9745834	457.3334	0.94878626	442.2074	0.9889658	1039.84	0.94193745	490.5643	0.8392816	562.22986	0.9375999	824.0797	0.9565482	500.23022	0.7390229	166.98112	0.8260026	652.45245	0.9227989	592.8853	0.9652614	288.0106	0.9013393	220.1217	0.97720873	494.8647	0.97359407	846.641	0.96054333	646.4817
vBin_2	6	33	9	BGR_140605_NODE_678_length_8054_cov_21.183898	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	26332	32	9	1	Medium-quality	Genome-fragment	59.21	AAI-based (medium-confidence)	1.36		0.9671258	1256.9462	0.95947796	1335.8727	0.9810136	1081.0511	0.9745834	457.3334	0.94878626	442.2074	0.9889658	1039.84	0.94193745	490.5643	0.8392816	562.22986	0.9375999	824.0797	0.9565482	500.23022	0.7390229	166.98112	0.8260026	652.45245	0.9227989	592.8853	0.9652614	288.0106	0.9013393	220.1217	0.97720873	494.8647	0.97359407	846.641	0.96054333	646.4817
vBin_2	6	33	9	BGR_141022_NODE_4010_length_2650_cov_19.220039	No	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	dsDNA	Prokaryote	26332	32	9	1	Medium-quality	Genome-fragment	59.21	AAI-based (medium-confidence)	1.36		0.9671258	1256.9462	0.95947796	1335.8727	0.9810136	1081.0511	0.9745834	457.3334	0.94878626	442.2074	0.9889658	1039.84	0.94193745	490.5643	0.8392816	562.22986	0.9375999	824.0797	0.9565482	500.23022	0.7390229	166.98112	0.8260026	652.45245	0.9227989	592.8853	0.9652614	288.0106	0.9013393	220.1217	0.97720873	494.8647	0.97359407	846.641	0.96054333	646.4817
